Ux,Uc0.0,Uc0.1,Uc0.2,Uc0.3,Uc0.4,Uc0.5,Uc0.6,Uc0.7,Uc0.8
0.000,-964.6E-18,1.506E-9,1.600E-9,1.641E-9,1.674E-9,1.704E-9,1.732E-9,1.760E-9,1.788E-9
16.00E-3,-1.753E-15,2.599E-9,2.761E-9,2.833E-9,2.889E-9,2.940E-9,2.989E-9,3.037E-9,3.085E-9
32.00E-3,-3.190E-15,4.481E-9,4.761E-9,4.883E-9,4.980E-9,5.068E-9,5.152E-9,5.235E-9,5.318E-9
48.00E-3,-5.659E-15,7.710E-9,8.192E-9,8.403E-9,8.568E-9,8.719E-9,8.864E-9,9.006E-9,9.147E-9
64.00E-3,-9.772E-15,13.22E-9,14.05E-9,14.41E-9,14.69E-9,14.95E-9,15.20E-9,15.44E-9,15.68E-9
80.00E-3,-16.49E-15,22.54E-9,23.96E-9,24.57E-9,25.05E-9,25.49E-9,25.90E-9,26.31E-9,26.71E-9
96.00E-3,-27.24E-15,38.09E-9,40.50E-9,41.53E-9,42.33E-9,43.05E-9,43.74E-9,44.41E-9,45.08E-9
112.0E-3,-43.91E-15,63.48E-9,67.54E-9,69.23E-9,70.53E-9,71.70E-9,72.82E-9,73.91E-9,74.99E-9
128.0E-3,-68.70E-15,103.7E-9,110.4E-9,113.2E-9,115.2E-9,117.1E-9,118.8E-9,120.5E-9,122.2E-9
144.0E-3,-103.7E-15,164.9E-9,175.9E-9,180.2E-9,183.4E-9,186.2E-9,188.8E-9,191.4E-9,194.0E-9
160.0E-3,-150.2E-15,253.9E-9,271.6E-9,278.1E-9,282.8E-9,286.9E-9,290.7E-9,294.5E-9,298.1E-9
176.0E-3,-208.8E-15,377.1E-9,405.0E-9,414.5E-9,421.1E-9,426.9E-9,432.2E-9,437.3E-9,442.4E-9
192.0E-3,-279.1E-15,539.2E-9,582.5E-9,596.0E-9,605.1E-9,612.8E-9,620.0E-9,626.8E-9,633.4E-9
208.0E-3,-360.4E-15,743.1E-9,809.0E-9,827.7E-9,839.9E-9,849.9E-9,859.1E-9,867.8E-9,876.2E-9
224.0E-3,-451.9E-15,988.6E-9,1.088E-6,1.113E-6,1.129E-6,1.142E-6,1.153E-6,1.164E-6,1.174E-6
240.0E-3,-553.0E-15,1.273E-6,1.420E-6,1.454E-6,1.474E-6,1.490E-6,1.504E-6,1.517E-6,1.529E-6
256.0E-3,-663.6E-15,1.593E-6,1.805E-6,1.851E-6,1.876E-6,1.895E-6,1.911E-6,1.927E-6,1.941E-6
272.0E-3,-783.7E-15,1.941E-6,2.242E-6,2.302E-6,2.333E-6,2.356E-6,2.375E-6,2.393E-6,2.410E-6
288.0E-3,-913.9E-15,2.310E-6,2.728E-6,2.807E-6,2.845E-6,2.871E-6,2.894E-6,2.915E-6,2.934E-6
304.0E-3,-1.055E-12,2.694E-6,3.258E-6,3.363E-6,3.408E-6,3.440E-6,3.465E-6,3.489E-6,3.510E-6
